filename,title_from_filename
Climate-Variability-and-International-Migration-The-Importance-of-the-Agricultural-Linkage.pdf,Climate Variability and International Migration The Importance of the Agricultural Linkage
Climate-Variability-and-Worldwide-Migration-Empirical-Evidence-and-Projections.pdf,Climate Variability and Worldwide Migration Empirical Evidence and Projections
Cloud-Security-Compliance-Framework.pdf,Cloud Security Compliance Framework
Comparative-Analysis-of-Machine-Learning-Models-for-Predictive-Healthcare-in-Chronic-Disease-Management.pdf,Comparative Analysis of Machine Learning Models for Predictive Healthcare in Chronic Disease Management
Compass-Group-Annual-Report-2024.pdf,Compass Group Annual Report 2024
Complete-Startup-Pitch-Guide.pdf,Complete Startup Pitch Guide
Constraining primordial non-Gaussianity from DESI DR1 quasars and Planck PR4 CMB Lensing.pdf,Constraining primordial non Gaussianity from DESI DR1 quasars and Planck PR4 CMB Lensing
Consumer-Preferences-Luxury-Fashion.pdf,Consumer Preferences Luxury Fashion
Cost-Optimization-in-Azure-and-AWS-Cloud.pdf,Cost Optimization in Azure and AWS Cloud
Course-Outline-Components-2024.pdf,Course Outline Components 2024
Cultural-Preservation-Handbook.pdf,Cultural Preservation Handbook
Cybersecurity-Audit-Guideline.pdf,Cybersecurity Audit Guideline
DEER-A-Comprehensive-and-Reliable-Benchmark-for-Deep-Research-Expert-Reports.pdf,DEER A Comprehensive and Reliable Benchmark for Deep Research Expert Reports
DETU_18_04.pdf,DETU 18 04
DEVELOPING EFFECTIVE LEARNING OUTCOMES.pdf,DEVELOPING EFFECTIVE LEARNING OUTCOMES
DHS-Emergency-Disaster-Deployments.pdf,DHS Emergency Disaster Deployments
DL-Educational-Data-Science.pdf,DL Educational Data Science
Data-Science-Sports-Analytics.pdf,Data Science Sports Analytics
Deep-Learning-Big-Data.pdf,Deep Learning Big Data
Deloitte-Tech-Outlook-2024.pdf,Deloitte Tech Outlook 2024
Deloitte-Travel-Hospitality-2024.pdf,Deloitte Travel Hospitality 2024
Deutsche-Bank-Annual-Report-2024.pdf,Deutsche Bank Annual Report 2024
Digital-Marketing-Modern-Business-2025.pdf,Digital Marketing Modern Business 2025
DoD-Manufacturing-Guide-2024.pdf,DoD Manufacturing Guide 2024
E-Commerce-Fashion-Industry.pdf,E Commerce Fashion Industry
ESISCS-534-288-310.pdf,ESISCS 534 288 310
EU-Parliament-Textile-Data-Gaps.pdf,EU Parliament Textile Data Gaps
Eco-friendly-Urban-Design.pdf,Eco friendly Urban Design
Effect-of-Electronic-Medical-Records-on-Medication-Errors-Workload-and-Medical-Staff.pdf,Effect of Electronic Medical Records on Medication Errors Workload and Medical Staff
Effective Reporting Could Improve Safe Use of Electronic Health Records.pdf,Effective Reporting Could Improve Safe Use of Electronic Health Records
Effects-of-the-Minimum-Wage-on-Employment-Dynamics.pdf,Effects of the Minimum Wage on Employment Dynamics
Enhanced-Web-User-Interface-Design-Via-Cross-Device-Responsiveness-Assessment-Using-an-Improved-HCI-Integrated-DL-Scheme.pdf,Enhanced Web User Interface Design Via Cross Device Responsiveness Assessment Using an Improved HCI Integrated DL Scheme
Enterprise Risk Management .pdf,Enterprise Risk Management 
Etat de l’art sur l’application des bandits multi-bras.pdf,Etat de l’art sur l’application des bandits multi bras
Evaluating-Machine-Learning-Algorithms-for-Predictive-Maintenance-in-Equipment.pdf,Evaluating Machine Learning Algorithms for Predictive Maintenance in Equipment
Exploring-the-Impacts-of-Economic-Growth-on-Ecosystem-and-Its-Subcomponents-in-Turkiye.pdf,Exploring the Impacts of Economic Growth on Ecosystem and Its Subcomponents in Turkiye
FAO-Background-Guide.pdf,FAO Background Guide
FAO-Crop-Food-Supply-Assessment-2024.pdf,FAO Crop Food Supply Assessment 2024
FAO-Organic-Agriculture-Manual.pdf,FAO Organic Agriculture Manual
FEMA-Disaster-Recovery-Framework-2024.pdf,FEMA Disaster Recovery Framework 2024
FEMA-Disaster-Relief-Fund-Oct-2024.pdf,FEMA Disaster Relief Fund Oct 2024
Fidelity-Charitable-Giving-2024.pdf,Fidelity Charitable Giving 2024
Fidelity-Charitable-Giving-2025.pdf,Fidelity Charitable Giving 2025
Fintech-Startup-Pitch-Tips.pdf,Fintech Startup Pitch Tips
Fixed-Priority-and-EDF-Schedules-for-ROS2-Graphs-on-Uniprocessor.pdf,Fixed Priority and EDF Schedules for ROS2 Graphs on Uniprocessor
Free-Text-as-Part-of-Electronic-Health-Record-Orders-Context-or-Concern.pdf,Free Text as Part of Electronic Health Record Orders Context or Concern
From Tarzan to Tolkien- Controlling the Language Proficiency Level of LLMs for Content Generation.pdf,From Tarzan to Tolkien  Controlling the Language Proficiency Level of LLMs for Content Generation
Future-Wellness-Tourism-2025.pdf,Future Wellness Tourism 2025
GDPR-Compliance-Checklist.pdf,GDPR Compliance Checklist
GDPR-Impact-Cybersecurity.pdf,GDPR Impact Cybersecurity
GSA-Cybersecurity-Risk-2024.pdf,GSA Cybersecurity Risk 2024
Gen-Z-Employee-Burnout.pdf,Gen Z Employee Burnout
Generative AI in Medicine.pdf,Generative AI in Medicine
Generosity-Commission-Report-2024.pdf,Generosity Commission Report 2024
Global-Wellness-Rankings-2024.pdf,Global Wellness Rankings 2024
Green-Building-Energy-Design-2024.pdf,Green Building Energy Design 2024
Guiding Clinical Reasoning with Large Language Models via Knowledge Seeds.pdf,Guiding Clinical Reasoning with Large Language Models via Knowledge Seeds
Guntur.pdf,Guntur
HBS-Pitch-Deck-Template.pdf,HBS Pitch Deck Template
Heritage-Conservation-Architecture.pdf,Heritage Conservation Architecture
High-Stakes.pdf,High Stakes
Housing-Brand-Marketing.pdf,Housing Brand Marketing
Human-Computer-Interactions-Farm-Animals.pdf,Human Computer Interactions Farm Animals
IFRC-Emergency-Response-Framework.pdf,IFRC Emergency Response Framework
Imitation-Game-Reproducing-Deep-Learning-Bugs-Leveraging-an-Intelligent-Agent.pdf,Imitation Game Reproducing Deep Learning Bugs Leveraging an Intelligent Agent
Immigrant-Residential-Segregation-in-Europe-A-Comparative-Study-of-Spatial-Segregation-Patterns.pdf,Immigrant Residential Segregation in Europe A Comparative Study of Spatial Segregation Patterns
Impact of EMR_EHR and Computer Decision Support Systems on Nursin.pdf,Impact of EMR EHR and Computer Decision Support Systems on Nursin
Implementation-of-Augmented-Reality-as-an-Educational-Tool-for-Wudhu-Practice-in-Early-Childhood.pdf,Implementation of Augmented Reality as an Educational Tool for Wudhu Practice in Early Childhood
Input-output behaviour of a model neuron with alternating drift.pdf,Input output behaviour of a model neuron with alternating drift
Intro-Deep-RL.pdf,Intro Deep RL
Investing in Cryptocurrency.pdf,Investing in Cryptocurrency
KPMG-Global-Leisure-2024.pdf,KPMG Global Leisure 2024
KPMG-Smart-to-Smarter-Cities.pdf,KPMG Smart to Smarter Cities
LLMOrbit-Taxonomy-LLMs.pdf,LLMOrbit Taxonomy LLMs
LRS_schoolfinance_AEJApp_2018.pdf,LRS schoolfinance AEJApp 2018
Lean-Warehousing-7S-Tools.pdf,Lean Warehousing 7S Tools
LemieuxPaper.pdf,LemieuxPaper
Livestock-Production-Trends-Innovations.pdf,Livestock Production Trends Innovations
MBA-Operations-Management-Lectures.pdf,MBA Operations Management Lectures
ML-Algorithms-Handbook.pdf,ML Algorithms Handbook
ML-DL-Data-Preprocessing.pdf,ML DL Data Preprocessing
ML-DL-Fundamentals.pdf,ML DL Fundamentals
Machine Learning for Disease Prediction.pdf,Machine Learning for Disease Prediction
Machine-Learning-based-Predictive-Maintenance-in-Manufacturing-Industry.pdf,Machine Learning based Predictive Maintenance in Manufacturing Industry
Machine-Learning-for-Modeling-the-Progression-of-Alzheimer-Disease-Dementia-Using-Clinical-Data-A-Systematic-Literature-Review.pdf,Machine Learning for Modeling the Progression of Alzheimer Disease Dementia Using Clinical Data A Systematic Literature Review
Marketing-Digital-Transformation.pdf,Marketing Digital Transformation
McDonnall_Antonelli_2018Employers_implicit_attitudes.pdf,McDonnall Antonelli 2018Employers implicit attitudes
Medical Errors _ Patient Safety_ Hospital Medication Errors Pre-.pdf,Medical Errors   Patient Safety  Hospital Medication Errors Pre 
Meer_West_MinimumWage.pdf,Meer West MinimumWage
Metropolitan-Museum-Exhibition-History.pdf,Metropolitan Museum Exhibition History
Mind-the-Workplace-2024.pdf,Mind the Workplace 2024
Music-Industry-Streaming-2024.pdf,Music Industry Streaming 2024
NASA-FY2024-Budget-Estimates.pdf,NASA FY2024 Budget Estimates
NASA-FY2025-Budget-Factsheet.pdf,NASA FY2025 Budget Factsheet
NBER-Appropriate-Entrepreneurship.pdf,NBER Appropriate Entrepreneurship
NBER-Corporate-Social-Impact.pdf,NBER Corporate Social Impact
NBER-Education-Policy.pdf,NBER Education Policy
NBER-Macroeconomics-Narratives.pdf,NBER Macroeconomics Narratives
NBER-Places-vs-People.pdf,NBER Places vs People
NM-Early-Childhood-Annual-Report-2024.pdf,NM Early Childhood Annual Report 2024
NPS-Museum-Collections-Exhibits-Guide.pdf,NPS Museum Collections Exhibits Guide
NYU-Institute-Fine-Arts-Annual-2024.pdf,NYU Institute Fine Arts Annual 2024
Nonlinear-permanent-migration-response-to-climatic-variations-but-minimal-response-to-disasters.pdf,Nonlinear permanent migration response to climatic variations but minimal response to disasters
Novo-Nordisk-Investor-Presentation-2024.pdf,Novo Nordisk Investor Presentation 2024
OECD-Digital-Economy-Outlook-2024.pdf,OECD Digital Economy Outlook 2024
OECD-FAO-Agricultural-Outlook-2024-2033.pdf,OECD FAO Agricultural Outlook 2024 2033
OECD-Smart-Cities-2024.pdf,OECD Smart Cities 2024
Open-world-ML-Survey.pdf,Open world ML Survey
Optimizing-Performance-Cost-Efficiency-and-Flexibility-through-Hybrid-Multi-Cloud-Architectures.pdf,Optimizing Performance Cost Efficiency and Flexibility through Hybrid Multi Cloud Architectures
Oxfam-America-Annual-Report-2024.pdf,Oxfam America Annual Report 2024
PSONavigator_Data_Errors_in_Health_IT_Systems.pdf,PSONavigator Data Errors in Health IT Systems
Pennsylvania-Charities-Report-2024.pdf,Pennsylvania Charities Report 2024
Philanthropy-Trends-2024.pdf,Philanthropy Trends 2024
Philanthropy-Trends-2025.pdf,Philanthropy Trends 2025
Predicting-Disease-Progression-in-People-Living-with-HIV-using-Machine-Learning-and-a-Nomogram.pdf,Predicting Disease Progression in People Living with HIV using Machine Learning and a Nomogram
Predicting-Wilsons-Disease-Progression-using-Machine-Learning-with-Real-World-Electronic-Health-Records.pdf,Predicting Wilsons Disease Progression using Machine Learning with Real World Electronic Health Records
Predicting-the-Progression-of-Chronic-Kidney-Disease-A-Systematic-Review-of-Artificial-Intelligence-and-Machine-Learning-Approaches.pdf,Predicting the Progression of Chronic Kidney Disease A Systematic Review of Artificial Intelligence and Machine Learning Approaches
Prediction-of-Disease-Stage-by-Machine-Learning-Classification-Methods-for-Covid-19-Patients.pdf,Prediction of Disease Stage by Machine Learning Classification Methods for Covid 19 Patients
Project for Middle Class Renewal.pdf,Project for Middle Class Renewal
Purdue-Data-Protection-2024.pdf,Purdue Data Protection 2024
PwC-Entertainment-Media-Outlook-2024-28.pdf,PwC Entertainment Media Outlook 2024 28
PwC-Perfect-Pitch-Deck-Guide.pdf,PwC Perfect Pitch Deck Guide
PwC-Transport-Logistics-Barometer-2024.pdf,PwC Transport Logistics Barometer 2024
Risk Management.pdf,Risk Management
Risk Management—the Revealing Hand.pdf,Risk Management—the Revealing Hand
Robotics-Integration-in-Manufacturing-Case-Study-of-South-Korea.pdf,Robotics Integration in Manufacturing Case Study of South Korea
SDG-Goals-Report-2024.pdf,SDG Goals Report 2024
STARS-Sustainability-Manual-v3.pdf,STARS Sustainability Manual v3
SWE-Bench-Plus-Plus-Framework-for-Scalable-Generation-of-Software-Engineering-Benchmarks-from-Open-Source-Repositories.pdf,SWE Bench Plus Plus Framework for Scalable Generation of Software Engineering Benchmarks from Open Source Repositories
Security-Compliance-Cybersecurity.pdf,Security Compliance Cybersecurity
Selective Fine-tuning on LLM-labeled Data May Reduce Reliance on Human Annotation.pdf,Selective Fine tuning on LLM labeled Data May Reduce Reliance on Human Annotation
ShareChat-A-Dataset-of-Chatbot-Conversations-in-the-Wild.pdf,ShareChat A Dataset of Chatbot Conversations in the Wild
Simulstream-Toolkit-for-Evaluation-and-Demonstration-of-Streaming-Speech-to-Text-Translation-Systems.pdf,Simulstream Toolkit for Evaluation and Demonstration of Streaming Speech to Text Translation Systems
SpIDER-Spatially-Informed-Dense-Embedding-Retrieval-for-Software-Issue-Localization.pdf,SpIDER Spatially Informed Dense Embedding Retrieval for Software Issue Localization
Sports-Science-Nutrition-2024.pdf,Sports Science Nutrition 2024
"Stolz, Inequity in Education- Examining the Role of Funding on Student Achievement.pdf","Stolz, Inequity in Education  Examining the Role of Funding on Student Achievement"
Sustainable-Architecture-and-AI.pdf,Sustainable Architecture and AI
Sustainable-Fashion-Consumer.pdf,Sustainable Fashion Consumer
Sustainable-Thinking-Architecture.pdf,Sustainable Thinking Architecture
Sustainable-Urbanism-Design.pdf,Sustainable Urbanism Design
Technology-Impact-on-Fashion.pdf,Technology Impact on Fashion
Textile-Reimagining-Growth-2024.pdf,Textile Reimagining Growth 2024
The contribution from smalls scales on two-point shear analysis- comparison between power spectrum and correlation function.pdf,The contribution from smalls scales on two point shear analysis  comparison between power spectrum and correlation function
The-Effects-of-Initial-Low-Barrier-Employment-Availability-on-Refugee-Labor-Market-Integration.pdf,The Effects of Initial Low Barrier Employment Availability on Refugee Labor Market Integration
The-Impact-of-Natural-Disasters-on-Food-Security-in-Turkiye.pdf,The Impact of Natural Disasters on Food Security in Turkiye
The-Trust-Building-Game-A-Model-for-Sustainable-Cooperation.pdf,The Trust Building Game A Model for Sustainable Cooperation
Toward-Systematic-Counterfactual-Fairness-Evaluation-of-Large-Language-Models-The-CAFFE-Framework.pdf,Toward Systematic Counterfactual Fairness Evaluation of Large Language Models The CAFFE Framework
Towards Integrating Emerging AI Applications in SE Education.pdf,Towards Integrating Emerging AI Applications in SE Education
Towards-Developing-an-Understanding-of-Consumers-Perceived-Privacy-Violations-in-Online-Advertising.pdf,Towards Developing an Understanding of Consumers Perceived Privacy Violations in Online Advertising
Trails of clouds in binary black holes.pdf,Trails of clouds in binary black holes
UBC-Syllabus-Template.pdf,UBC Syllabus Template
UK-Clothing-Retailers-Sustainability.pdf,UK Clothing Retailers Sustainability
US-Global-Health-Security-Strategy.pdf,US Global Health Security Strategy
USDA-Animal-Disease-Preparedness-2024.pdf,USDA Animal Disease Preparedness 2024
USDA-Food-Security-Assessment-2024.pdf,USDA Food Security Assessment 2024
USDA-Guide-Organic-Crop-Producers.pdf,USDA Guide Organic Crop Producers
USDA-Organic-Crop-Guidelines.pdf,USDA Organic Crop Guidelines
USDA-Organic-Practices-Factsheet.pdf,USDA Organic Practices Factsheet
Ultimate-Pitch-Deck-Guide.pdf,Ultimate Pitch Deck Guide
Umbrella Review BI_final.pdf,Umbrella Review BI final
Universal Basic Income and the Alaska Permanent Fund_ Impact on L.pdf,Universal Basic Income and the Alaska Permanent Fund  Impact on L
University-HS-Course-Guide-2024-25.pdf,University HS Course Guide 2024 25
Urban-Regeneration-Whitepaper-2024.pdf,Urban Regeneration Whitepaper 2024
Utilizing-Artificial-Intelligence-Predictive-Maintenance-in-Lean-Manufacturing-to-Boost-Industrial-Sustainability-and-Energy-Efficiency.pdf,Utilizing Artificial Intelligence Predictive Maintenance in Lean Manufacturing to Boost Industrial Sustainability and Energy Efficiency
Veterinary-Science-Prospectus-2024.pdf,Veterinary Science Prospectus 2024
Vision Transformers for Computer Go.pdf,Vision Transformers for Computer Go
Visualization-of-the-Content-of-Surah-al-Fiil-using-Marker-Based-Augmented-Reality.pdf,Visualization of the Content of Surah al Fiil using Marker Based Augmented Reality
WCAS-D-19-0116.1.pdf,WCAS D 19 0116.1
WHO-Results-Report-2024.pdf,WHO Results Report 2024
WHO-Western-Pacific-Whitepaper.pdf,WHO Western Pacific Whitepaper
WIPO-Preservation-Toolkit.pdf,WIPO Preservation Toolkit
WJARR-2024-0592.pdf,WJARR 2024 0592
WMS-Market-Report-2024.pdf,WMS Market Report 2024
Warehouse-Automation-Industry-Update.pdf,Warehouse Automation Industry Update
Warehouse-Layout-Redesign-2024.pdf,Warehouse Layout Redesign 2024
Wellness-Global-Hospitality-Tourism.pdf,Wellness Global Hospitality Tourism
When-Data-Quality-Issues-Collide-Empirical-Study-of-Co-Occurring-Data-Quality-Issues-in-Software-Defect-Prediction.pdf,When Data Quality Issues Collide Empirical Study of Co Occurring Data Quality Issues in Software Defect Prediction
When-the-Gold-Standard-Isnt-Necessarily-Standard-Challenges-of-Evaluating-Translation-of-User-Generated-Content.pdf,When the Gold Standard Isnt Necessarily Standard Challenges of Evaluating Translation of User Generated Content
Who-Connects-Global-Aid-The-Hidden-Geometry-of-10-Million-Transactions.pdf,Who Connects Global Aid The Hidden Geometry of 10 Million Transactions
Workplace-Mental-Health-Playbook.pdf,Workplace Mental Health Playbook
World-Bank-AI-Exposure-Workers.pdf,World Bank AI Exposure Workers
World-Manufacturing-Report-2024.pdf,World Manufacturing Report 2024
Writing and Using Learning Outcomes- a Practical Guide.pdf,Writing and Using Learning Outcomes  a Practical Guide
XBIDetective-Leveraging-Vision-Language-Models-for-Identifying-Cross-Browser-Visual-Inconsistencies.pdf,XBIDetective Leveraging Vision Language Models for Identifying Cross Browser Visual Inconsistencies
___media_files_publications_issue_brief_2012_jul_1608_silowcarroll_using_ehrs_improve_quality.pdf,   media files publications issue brief 2012 jul 1608 silowcarroll using ehrs improve quality
"admin_jns,+Neonatal_Surgery_EHR_Systematic_Review_Authors[1].pdf","admin jns,+Neonatal Surgery EHR Systematic Review Authors[1]"
advanced-robotics-in-the-factory-of-the-future_tcm9-217112.pdf,advanced robotics in the factory of the future tcm9 217112
aging-2025-1-e67437.pdf,aging 2025 1 e67437
annurev-bioeng-110220-030247.pdf,annurev bioeng 110220 030247
effectiveness_of_online_and_blended_learning.pdf,effectiveness of online and blended learning
evidence-briefing-on-digital-approaches-to-facilitate-safer-medication-management-at-transitions-of-care.pdf,evidence briefing on digital approaches to facilitate safer medication management at transitions of care
galos_coppock_2023.pdf,galos coppock 2023
hit_lessons_learned_lit_review_final_08-01-2013.pdf,hit lessons learned lit review final 08 01 2013
identifying-electronic-health-record-usability-and-safety-challenges-in-pediatric-settings.pdf,identifying electronic health record usability and safety challenges in pediatric settings
"pmangahis,+CJHP-75-267.pdf","pmangahis,+CJHP 75 267"
pone.0276764.pdf,pone.0276764
rishabhsinha.pdf,rishabhsinha
ssrn-5196927.pdf,ssrn 5196927
uc1hs015397-bates-final-report-2008.pdf,uc1hs015397 bates final report 2008
