id,filename,title,domain,source_url,notes
12,Climate-Variability-and-International-Migration-The-Importance-of-the-Agricultural-Linkage.pdf,Climate Variability and International Migration: The Importance of the Agricultural Linkage,Finance,https://ftp.iza.org/dp8183.pdf,Agricultural migration
13,Climate-Variability-and-Worldwide-Migration-Empirical-Evidence-and-Projections.pdf,Climate Variability and Worldwide Migration: Empirical Evidence and Projections,Finance,https://www.elibrary.imf.org/downloadpdf/journals/001/2024/058/article-A000-en.pdf,Global migration projections
14,Comparative-Analysis-of-Machine-Learning-Models-for-Predictive-Healthcare-in-Chronic-Disease-Management.pdf,Comparative Analysis of Machine Learning Models for Predictive Healthcare in Chronic Disease Management,Medical,https://americaspg.com/article/pdf/3879,ML healthcare comparison
15,Constraining primordial non-Gaussianity from DESI DR1 quasars and Planck PR4 CMB Lensing.pdf,Constraining Primordial Non-Gaussianity from DESI DR1 Quasars and Planck PR4 CMB Lensing,Computer Science,https://arxiv.org/pdf/2512.17865.pdf,Cosmology research
16,Cost-Optimization-in-Azure-and-AWS-Cloud.pdf,Cost Optimization in Azure and AWS Cloud,Computer Science,https://jmsr-online.com/article/download/pdf/372/,Cloud computing cost study
17,DEER-A-Comprehensive-and-Reliable-Benchmark-for-Deep-Research-Expert-Reports.pdf,DEER: A Comprehensive and Reliable Benchmark for Deep Research Expert Reports,AI/ML,https://arxiv.org/pdf/2512.17776.pdf,LLM benchmark
18,DETU_18_04.pdf,DETU Research Paper,Education,https://www.cla.temple.edu/RePEc/documents/DETU_18_04.pdf,Educational technology
19,DEVELOPING EFFECTIVE LEARNING OUTCOMES.pdf,Developing Effective Learning Outcomes,Education,https://www.seattleu.edu/media/seattle-university/center-for-faculty-development/files/2023-Guide-to-learning-outcomes---Seattle-University.pdf,Learning outcomes guide
20,ESISCS-534-288-310.pdf,ESISCS Research Paper,Computer Science,https://esj.eastasouth-institute.com/index.php/esiscs/article/download/534/437/3968,Software engineering
21,Effect-of-Electronic-Medical-Records-on-Medication-Errors-Workload-and-Medical-Staff.pdf,Effect of Electronic Medical Records on Medication Errors Workload and Medical Staff,Medical,https://bmcnurs.biomedcentral.com/counter/pdf/10.1186/s12912-024-01936-7.pdf,EMR medication errors
22,Effective Reporting Could Improve Safe Use of Electronic Health Records.pdf,Effective Reporting Could Improve Safe Use of Electronic Health Records,Medical,https://www.pewtrusts.org/-/media/assets/2020/03/effectivereportingcouldimprovesafeuseofelectronichealthrecords.pdf,EHR safety reporting
23,Effects-of-the-Minimum-Wage-on-Employment-Dynamics.pdf,Effects of the Minimum Wage on Employment Dynamics,Finance,https://www.nber.org/system/files/working_papers/w19262/w19262.pdf,Minimum wage study
24,Enhanced-Web-User-Interface-Design-Via-Cross-Device-Responsiveness-Assessment-Using-an-Improved-HCI-Integrated-DL-Scheme.pdf,Enhanced Web User Interface Design Via Cross-Device Responsiveness Assessment,Computer Science,https://www.mdpi.com/2076-3417/13/24/13273/pdf,HCI deep learning
25,Enterprise Risk Management .pdf,Enterprise Risk Management,Finance,https://www.casact.org/sites/default/files/presentation/erm_forum_2012_handouts-2_0.pdf,Risk management framework
26,Etat de l'art sur l'application des bandits multi-bras.pdf,State of the Art on Multi-Armed Bandits Application,AI/ML,,Multi-armed bandits survey
27,Evaluating-Machine-Learning-Algorithms-for-Predictive-Maintenance-in-Equipment.pdf,Evaluating Machine Learning Algorithms for Predictive Maintenance in Equipment,AI/ML,https://www.sciencedirect.com/science/article/pii/S2351978924001415/pdf,Predictive maintenance ML
28,Exploring-the-Impacts-of-Economic-Growth-on-Ecosystem-and-Its-Subcomponents-in-Turkiye.pdf,Exploring the Impacts of Economic Growth on Ecosystem in Turkiye,Finance,,Environmental economics Turkey
29,Fixed-Priority-and-EDF-Schedules-for-ROS2-Graphs-on-Uniprocessor.pdf,Fixed-Priority and EDF Schedules for ROS2 Graphs on Uniprocessor,Computer Science,https://arxiv.org/pdf/2512.16926.pdf,Real-time systems ROS2
30,Free-Text-as-Part-of-Electronic-Health-Record-Orders-Context-or-Concern.pdf,Free-Text as Part of Electronic Health Record Orders: Context or Concern,Medical,https://jamanetwork.com/journals/jamanetworkopen/fullarticle/2776223,EHR free-text analysis
31,From Tarzan to Tolkien- Controlling the Language Proficiency Level of LLMs for Content Generation.pdf,From Tarzan to Tolkien: Controlling the Language Proficiency Level of LLMs,AI/ML,https://arxiv.org/pdf/2406.03030.pdf,LLM language control
32,Generative AI in Medicine.pdf,Generative AI in Medicine,AI/ML,https://arxiv.org/pdf/2412.10337.pdf,Medical AI applications
33,Guiding Clinical Reasoning with Large Language Models via Knowledge Seeds.pdf,Guiding Clinical Reasoning with Large Language Models via Knowledge Seeds,AI/ML,https://arxiv.org/pdf/2403.06609.pdf,Clinical LLM reasoning
34,Guntur.pdf,Guntur Research Paper,Education,,Educational research
35,High-Stakes.pdf,High-Stakes Assessment,Education,,Educational assessment
36,Imitation-Game-Reproducing-Deep-Learning-Bugs-Leveraging-an-Intelligent-Agent.pdf,Imitation Game: Reproducing Deep Learning Bugs Leveraging an Intelligent Agent,AI/ML,https://arxiv.org/pdf/2512.14990.pdf,ML debugging
37,Immigrant-Residential-Segregation-in-Europe-A-Comparative-Study-of-Spatial-Segregation-Patterns.pdf,Immigrant Residential Segregation in Europe: A Comparative Study,Finance,https://docs.iza.org/dp5625.pdf,Immigration segregation
38,Impact of EMR_EHR and Computer Decision Support Systems on Nursin.pdf,Impact of EMR/EHR and Computer Decision Support Systems on Nursing,Medical,https://mds.marshall.edu/mgmt_faculty/246/,EHR nursing impact
39,Implementation-of-Augmented-Reality-as-an-Educational-Tool-for-Wudhu-Practice-in-Early-Childhood.pdf,Implementation of Augmented Reality as an Educational Tool for Wudhu Practice,Education,https://ejournal.uin-suska.ac.id/index.php/JSTIP/article/download/19531/8961,AR education
40,Input-output behaviour of a model neuron with alternating drift.pdf,Input-Output Behaviour of a Model Neuron with Alternating Drift,Medical,https://link.springer.com/content/pdf/10.1007/s00285-013-0720-z.pdf,Computational neuroscience
41,Investing in Cryptocurrency.pdf,Investing in Cryptocurrency,Finance,,Cryptocurrency investment
42,LRS_schoolfinance_AEJApp_2018.pdf,School Finance Research,Education,https://jesse-rothstein.com/wp-content/uploads/2018/04/LRS_schoolfinance_AEJApp_2018.pdf,School funding study
43,LemieuxPaper.pdf,Lemieux Economics Paper,Finance,,Labor economics
44,Machine Learning for Disease Prediction.pdf,Machine Learning for Disease Prediction,AI/ML,https://www.sciencedirect.com/science/article/pii/S2001037023000771/pdfft,Disease prediction ML
45,Machine-Learning-based-Predictive-Maintenance-in-Manufacturing-Industry.pdf,Machine Learning-based Predictive Maintenance in Manufacturing Industry,AI/ML,https://www.mdpi.com/2076-3417/11/16/7450/pdf,Manufacturing ML
46,Machine-Learning-for-Modeling-the-Progression-of-Alzheimer-Disease-Dementia-Using-Clinical-Data-A-Systematic-Literature-Review.pdf,Machine Learning for Modeling the Progression of Alzheimer Disease Dementia,Medical,https://alz-journals.onlinelibrary.wiley.com/doi/pdfdirect/10.1016/j.jalz.2019.02.001,Alzheimer ML review
47,McDonnall_Antonelli_2018Employers_implicit_attitudes.pdf,Employers Implicit Attitudes,Finance,https://www.blind.msstate.edu/sites/www.blind.msstate.edu/files/2020-05/McDonnall_Antonelli_2018Employers_implicit_attitudes.pdf,Employment attitudes research
48,Medical Errors _ Patient Safety_ Hospital Medication Errors Pre-.pdf,Medical Errors and Patient Safety: Hospital Medication Errors,Medical,,Medication safety
49,Meer_West_MinimumWage.pdf,Minimum Wage Effects,Finance,https://doi.org/10.1111/jems.12138,Minimum wage economics
50,Nonlinear-permanent-migration-response-to-climatic-variations-but-minimal-response-to-disasters.pdf,Nonlinear Permanent Migration Response to Climatic Variations,Finance,https://www.nature.com/articles/s41558-020-00928-8.pdf,Climate migration
51,Optimizing-Performance-Cost-Efficiency-and-Flexibility-through-Hybrid-Multi-Cloud-Architectures.pdf,Optimizing Performance Cost Efficiency through Hybrid Multi-Cloud Architectures,Computer Science,,Multi-cloud optimization
52,PSONavigator_Data_Errors_in_Health_IT_Systems.pdf,PSONavigator: Data Errors in Health IT Systems,Medical,,Health IT errors
53,Predicting-Disease-Progression-in-People-Living-with-HIV-using-Machine-Learning-and-a-Nomogram.pdf,Predicting Disease Progression in People Living with HIV using Machine Learning,Medical,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8494737/pdf/main.pdf,HIV progression ML
54,Predicting-Wilsons-Disease-Progression-using-Machine-Learning-with-Real-World-Electronic-Health-Records.pdf,Predicting Wilson Disease Progression using Machine Learning with Real-World EHR,Medical,https://www.nature.com/articles/s41598-023-36848-w.pdf,Wilson disease ML
55,Predicting-the-Progression-of-Chronic-Kidney-Disease-A-Systematic-Review-of-Artificial-Intelligence-and-Machine-Learning-Approaches.pdf,Predicting the Progression of Chronic Kidney Disease: AI and ML Approaches Review,Medical,https://www.mdpi.com/2075-4418/13/4/797/pdf,CKD progression review
56,Prediction-of-Disease-Stage-by-Machine-Learning-Classification-Methods-for-Covid-19-Patients.pdf,Prediction of Disease Stage by Machine Learning Classification Methods for Covid-19,Medical,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8471746/pdf/PeerJ-9-e12058.pdf,COVID-19 ML classification
57,Project for Middle Class Renewal.pdf,Project for Middle Class Renewal,Finance,,Economic policy
58,Risk Management.pdf,Risk Management,Finance,https://web.stanford.edu/class/msande271/texts/RiskMgmtStulz.pdf,Risk management overview
59,Risk Management—the Revealing Hand.pdf,Risk Management: The Revealing Hand,Finance,https://www.jstor.org/stable/pdf/26632556.pdf,Risk management theory
60,Robotics-Integration-in-Manufacturing-Case-Study-of-South-Korea.pdf,Robotics Integration in Manufacturing: Case Study of South Korea,Computer Science,https://www.mdpi.com/2076-3417/10/20/7212/pdf,Manufacturing robotics
61,SWE-Bench-Plus-Plus-Framework-for-Scalable-Generation-of-Software-Engineering-Benchmarks-from-Open-Source-Repositories.pdf,SWE-Bench++: Framework for Scalable Generation of Software Engineering Benchmarks,AI/ML,https://arxiv.org/pdf/2512.17419.pdf,Software engineering benchmark
62,Selective Fine-tuning on LLM-labeled Data May Reduce Reliance on Human Annotation.pdf,Selective Fine-tuning on LLM-labeled Data May Reduce Reliance on Human Annotation,AI/ML,https://arxiv.org/pdf/2405.06093.pdf,LLM fine-tuning
63,ShareChat-A-Dataset-of-Chatbot-Conversations-in-the-Wild.pdf,ShareChat: A Dataset of Chatbot Conversations in the Wild,AI/ML,https://arxiv.org/pdf/2512.17843.pdf,Chatbot dataset
64,Simulstream-Toolkit-for-Evaluation-and-Demonstration-of-Streaming-Speech-to-Text-Translation-Systems.pdf,Simulstream: Toolkit for Evaluation of Streaming Speech-to-Text Translation,AI/ML,https://aclanthology.org/2022.emnlp-demos.5.pdf,Speech translation toolkit
65,SpIDER-Spatially-Informed-Dense-Embedding-Retrieval-for-Software-Issue-Localization.pdf,SpIDER: Spatially-Informed Dense Embedding Retrieval for Software Issue Localization,AI/ML,https://arxiv.org/pdf/2512.16956.pdf,Bug localization
66,"Stolz, Inequity in Education- Examining the Role of Funding on Student Achievement.pdf",Inequity in Education: Examining the Role of Funding on Student Achievement,Education,,Education funding equity
67,The contribution from smalls scales on two-point shear analysis- comparison between power spectrum and correlation function.pdf,The Contribution from Small Scales on Two-Point Shear Analysis,Computer Science,https://arxiv.org/pdf/2512.17022.pdf,Cosmological analysis
68,The-Effects-of-Initial-Low-Barrier-Employment-Availability-on-Refugee-Labor-Market-Integration.pdf,The Effects of Initial Low-Barrier Employment on Refugee Labor Market Integration,Finance,https://docs.iza.org/dp14890.pdf,Refugee employment
69,The-Impact-of-Natural-Disasters-on-Food-Security-in-Turkiye.pdf,The Impact of Natural Disasters on Food Security in Turkiye,Finance,https://www.sciencedirect.com/science/article/pii/S0959652623020048/pdfft,Food security Turkey
70,The-Trust-Building-Game-A-Model-for-Sustainable-Cooperation.pdf,The Trust-Building Game: A Model for Sustainable Cooperation,Finance,https://arxiv.org/pdf/2512.17061.pdf,Game theory cooperation
71,Toward-Systematic-Counterfactual-Fairness-Evaluation-of-Large-Language-Models-The-CAFFE-Framework.pdf,Toward Systematic Counterfactual Fairness Evaluation of LLMs: The CAFFE Framework,AI/ML,https://arxiv.org/pdf/2512.16816.pdf,LLM fairness evaluation
72,Towards Integrating Emerging AI Applications in SE Education.pdf,Towards Integrating Emerging AI Applications in SE Education,Education,https://arxiv.org/pdf/2405.18062.pdf,AI in SE education
73,Towards-Developing-an-Understanding-of-Consumers-Perceived-Privacy-Violations-in-Online-Advertising.pdf,Towards Developing an Understanding of Consumers Perceived Privacy Violations in Online Advertising,Computer Science,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4321345,Privacy advertising
74,Trails of clouds in binary black holes.pdf,Trails of Clouds in Binary Black Holes,Computer Science,https://arxiv.org/pdf/2512.17887.pdf,Astrophysics research
75,Umbrella Review BI_final.pdf,Umbrella Review on Business Intelligence,Finance,,Business intelligence review
76,Universal Basic Income and the Alaska Permanent Fund_ Impact on L.pdf,Universal Basic Income and the Alaska Permanent Fund: Impact on Labor,Finance,https://www.nber.org/system/files/working_papers/w24312/w24312.pdf,UBI Alaska study
77,Utilizing-Artificial-Intelligence-Predictive-Maintenance-in-Lean-Manufacturing-to-Boost-Industrial-Sustainability-and-Energy-Efficiency.pdf,Utilizing AI Predictive Maintenance in Lean Manufacturing for Sustainability,AI/ML,https://www.mdpi.com/2071-1050/15/2/1593/pdf,AI lean manufacturing
78,Vision Transformers for Computer Go.pdf,Vision Transformers for Computer Go,AI/ML,https://arxiv.org/pdf/2309.12675.pdf,ViT game playing
79,Visualization-of-the-Content-of-Surah-al-Fiil-using-Marker-Based-Augmented-Reality.pdf,Visualization of the Content of Surah al-Fiil using Marker-Based Augmented Reality,Education,https://ejournal.uin-suska.ac.id/index.php/JSTIP/article/download/19531/8961,AR Islamic education
80,WCAS-D-19-0116.1.pdf,Weather Climate and Society Research,Finance,,Climate society
81,WJARR-2024-0592.pdf,World Journal of Advanced Research and Reviews 2024,Medical,https://wjarr.com/sites/default/files/WJARR-2024-0592.pdf,Medical research review
82,When-Data-Quality-Issues-Collide-Empirical-Study-of-Co-Occurring-Data-Quality-Issues-in-Software-Defect-Prediction.pdf,When Data Quality Issues Collide: Empirical Study in Software Defect Prediction,Computer Science,https://arxiv.org/pdf/2512.17460.pdf,Data quality software
83,When-the-Gold-Standard-Isnt-Necessarily-Standard-Challenges-of-Evaluating-Translation-of-User-Generated-Content.pdf,When the Gold Standard Isnt Necessarily Standard: Challenges of Evaluating Translation of UGC,AI/ML,https://aclanthology.org/2023.wmt-1.17.pdf,Translation evaluation
84,Who-Connects-Global-Aid-The-Hidden-Geometry-of-10-Million-Transactions.pdf,Who Connects Global Aid: The Hidden Geometry of 10 Million Transactions,Finance,https://arxiv.org/pdf/2512.17243.pdf,Global aid networks
85,Writing and Using Learning Outcomes- a Practical Guide.pdf,Writing and Using Learning Outcomes: A Practical Guide,Education,https://cilt.ucc.ie/wp-content/uploads/2015/09/Writing-and-Using-Learning-Outcomes.pdf,Learning outcomes guide
86,XBIDetective-Leveraging-Vision-Language-Models-for-Identifying-Cross-Browser-Visual-Inconsistencies.pdf,XBIDetective: Leveraging Vision-Language Models for Cross-Browser Visual Inconsistencies,AI/ML,https://arxiv.org/pdf/2512.15804.pdf,Browser testing VLM
87,___media_files_publications_issue_brief_2012_jul_1608_silowcarroll_using_ehrs_improve_quality.pdf,Using EHRs to Improve Quality,Medical,https://www.commonwealthfund.org/sites/default/files/documents/___media_files_publications_issue_brief_2012_jul_1608_silowcarroll_using_ehrs_improve_quality.pdf,EHR quality improvement
88,"admin_jns,+Neonatal_Surgery_EHR_Systematic_Review_Authors[1].pdf",Neonatal Surgery EHR Systematic Review,Medical,https://www.jneonatalsurg.com/index.php/jns/article/download/8262/7249/26462,Neonatal EHR review
89,advanced-robotics-in-the-factory-of-the-future_tcm9-217112.pdf,Advanced Robotics in the Factory of the Future,Computer Science,https://www.bcg.com/publications/2017/advanced-robotics-factory-future,Factory robotics
90,aging-2025-1-e67437.pdf,Aging Research 2025,Medical,,Aging research
91,annurev-bioeng-110220-030247.pdf,Annual Review of Biomedical Engineering,Medical,https://www.annualreviews.org/doi/pdf/10.1146/annurev-bioeng-110220-030247,Biomedical engineering review
92,effectiveness_of_online_and_blended_learning.pdf,Effectiveness of Online and Blended Learning,Education,https://ies.ed.gov/ncee/wwc/Docs/PracticeGuide/wwc_onlinelearning_full.pdf,Online learning effectiveness
93,evidence-briefing-on-digital-approaches-to-facilitate-safer-medication-management-at-transitions-of-care.pdf,Evidence Briefing on Digital Approaches to Facilitate Safer Medication Management,Medical,,Digital medication management
94,galos_coppock_2023.pdf,Galos Coppock 2023 Research,Finance,https://alexandercoppock.com/galos_coppock_2023.pdf,Economic research
95,hit_lessons_learned_lit_review_final_08-01-2013.pdf,Health IT Lessons Learned Literature Review,Medical,https://www.healthit.gov/sites/default/files/hit_lessons_learned_lit_review_final_08-01-2013.pdf,Health IT review
96,identifying-electronic-health-record-usability-and-safety-challenges-in-pediatric-settings.pdf,Identifying EHR Usability and Safety Challenges in Pediatric Settings,Medical,https://www.healthaffairs.org/doi/pdf/10.1377/hlthaff.2018.0699,Pediatric EHR usability
97,"pmangahis,+CJHP-75-267.pdf",Canadian Journal of Hospital Pharmacy Research,Medical,https://www.cjhp-online.ca/index.php/cjhp/article/download/1073/1336/4785,Hospital pharmacy
98,pone.0276764.pdf,PLOS ONE Research Article,Medical,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0276764&type=printable,PLOS ONE medical
99,rishabhsinha.pdf,Rishabh Sinha Research Paper,AI/ML,,ML research
100,ssrn-5196927.pdf,SSRN Working Paper,Finance,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5196927,SSRN economics
101,uc1hs015397-bates-final-report-2008.pdf,Bates Final Report 2008 - Health IT,Medical,https://digital.ahrq.gov/sites/default/files/docs/publication/uc1hs015397-bates-final-report-2008.pdf,Health IT report
